SHORT URL;LONG URL;REDIRECIONAMENTO
esfa.co/bss/ComoChegar;espacofacial.com/barrashoppingsul/ComoChegar;https://www.google.com/maps/place/Espaço+Facial/@-30.0846697,-51.2458384,17z/data=!3m1!4b1!4m6!3m5!1s0x9519795c306ed865:0xb5f05aac9b865daa!8m2!3d-30.0846697!4d-51.2458384!16s%2Fg%2F11vywknzbf?entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoASAFQAw%3D%3D
esfa.co/bss/FaleConosco;espacofacial.com/barrashoppingsul/FaleConosco;https://wa.me/message/MT7UGL6U6KYWA1
esfa.co/bss/FB;espacofacial.com/barrashoppingsul/FB;https://www.facebook.com/espacofacial.barrashoppingsul
esfa.co/bss/GiftCard;espacofacial.com/barrashoppingsul/GiftCard;https://api.whatsapp.com/send?phone=5551980882293&text=Quero presentear _alguém especial_ com o *Cartão Presente* da _Espaço Facial_ – *autoestima, beleza e bem-estar* em forma de presente! 💝
esfa.co/bss/IG;espacofacial.com/barrashoppingsul/IG;https://www.instagram.com/espacofacial_barrashoppingsul
esfa.co/nh/ComoChegar;espacofacial.com/novohamburgo/ComoChegar;https://www.google.com/maps/dir//Espaço+Facial+-+Av.+Dr.+Maurício+Cardoso,+1126+-+Jardim+Mauá,+Novo+Hamburgo+-+RS,+93548-515/@-29.6817035,-51.1190928,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x951943d467aca085:0x23f81b926e34d27b!2m2!1d-51.1190928!2d-29.6817035!3e0?entry=ttu&g_ep=EgoyMDI1MDMxMS4wIKXMDSoASAFQAw%3D%3D
esfa.co/nh/FB;espacofacial.com/novohamburgo/FB;https://www.facebook.com/espacofacial.novohamburgo
esfa.co/nh/FGTS;espacofacial.com/novohamburgo/FGTS;https://auto.bsbank.com.br/fgts-parceiro?partner=7deea206-1e21-41ff-be10-a3e1d4ce95cb
esfa.co/nh/GiftCard;espacofacial.com/novohamburgo/GiftCard;https://api.whatsapp.com/send?phone=5551995811008&text=Quero presentear _alguém especial_ com o *Cartão Presente* da _Espaço Facial_ – *autoestima, beleza e bem-estar* em forma de presente! 💝
esfa.co/nh/IG;espacofacial.com/novohamburgo/IG;https://www.instagram.com/espacofacial_novohamburgo
esfa.co/bss/Alopecia;espacofacial.com/barrashoppingsul/Alopecia;https://payment-link-v3.stone.com.br/pl_7ezVNbW1nym2D4cz4IVa2rR0DxXJYdLP
esfa.co/bss/ClubeBotox;espacofacial.com/barrashoppingsul/ClubeBotox;https://payment-link-v3.stone.com.br/pl_lqrbavJ9pR50k6HBBt48jYoAPENQXxek
esfa.co/bss/ClubeLavieen;espacofacial.com/barrashoppingsul/ClubeLavieen;https://payment-link-v3.stone.com.br/pl_r1gLZjbQ3nX4E7UKQfXEYwRO9Eom7GlV
esfa.co/bss/NosAvalie;espacofacial.com/barrashoppingsul/NosAvalie;https://g.page/r/CapdhpusWvC1EBM/review
esfa.co/bss/VIP;espacofacial.com/barrashoppingsul/VIP;https://chat.whatsapp.com/KsZ5LtGtXcCAg4HyyDWnSo
esfa.co/BebaDessaFonte;espacofacial.com/BebaDessaFonte;https://api.whatsapp.com/send?phone=5551995811008&text=Ganhei+um+%2Adesconto+exclusivo%2A+da+HealthBodyRun+para+o+meu+momento+de+%2Aauto-cuidado+e+bem-estar%2A+na+Espa%C3%A7o+Facial.+Quero+saber+mais%21+%F0%9F%92%A5
esfa.co/nh/Alopecia;espacofacial.com/novohamburgo/Alopecia;https://payment-link-v3.stone.com.br/pl_JQ4p9nYxmGaNDO92slTBbZEdL76R1gX8
esfa.co/nh/ClubeBotox;espacofacial.com/novohamburgo/ClubeBotox;https://payment-link-v3.stone.com.br/pl_2xNX5qopbEQAOw2iGHqbL9wdP8VRGYkB
esfa.co/nh/ClubeLavieen;espacofacial.com/novohamburgo/ClubeLavieen;https://payment-link-v3.stone.com.br/pl_QypjlV90JAxoW7DzTnfY8X46qDe7EO15
esfa.co/nh/FaleConosco;espacofacial.com/novohamburgo/FaleConosco;https://wa.me/message/5ZD2K6FMTDVSC1
esfa.co/nh/NosAvalie;espacofacial.com/novohamburgo/NosAvalie;https://g.page/r/CXvSNG6SG_gjEBM/review
esfa.co/nh/VIP;espacofacial.com/novohamburgo/VIP;https://chat.whatsapp.com/EldkIVerELzESZKW8Iephz
esfa.co/SugereAqui;espacofacial.com/SugereAqui;
